exercise_id,name_et,name_en,movement_pattern_primary,movement_pattern_secondary,training_function,biomechanical_function,exercise_type,equipment_primary,equipment_secondary,body_position,bilateral_unilateral,open_closed_chain,primary_muscles,secondary_muscles,stabilizers,direct_load_weights,indirect_load_weights,muscle_length_profile,beginner_suitability,intermediate_suitability,advanced_suitability,technical_complexity,learning_difficulty,stability_requirement,coordination_requirement,mobility_requirement,fatigue_cost,time_cost,setup_time,default_sets,default_reps,default_rest_seconds,tempo_numeric,tempo_text_et,instructions_et,breathing_et,common_mistakes_et,coaching_cues_et,what_to_feel_et,contraindications,caution_flags,alternatives,progression_candidates,regression_candidates,substitution_group,evidence_ids,client_visible,status,version
ex_pull_v_001,Vertikaalne seljatõmme plokksüsteemil,Lat Pulldown,vertical_pull,"[""shoulder_adduction"", ""elbow_flexion""]",primary_compound,vertical_upper_body_pull,compound,cable,"[""machine""]",seated,bilateral,open_chain,"[""latissimus_dorsi""]","[""biceps"", ""teres_major"", ""rear_deltoid""]","[""core"", ""lower_trapezius""]","{""latissimus_dorsi"": 1.0, ""teres_major"": 0.5}","{""biceps"": 0.5, ""rear_deltoid"": 0.25, ""core"": 0.2, ""lower_trapezius"": 0.25}",lengthened,5,5,4,2,2,1,2,2,3,2,low,3,8-12,90,2-1-1-1,"Tõmba kang kontrollitult alla, hoia hetk ja lase aeglaselt üles tagasi.","Istu pingile ja fikseeri reied padja alla. Haara kangist, vii õlad alla ja tõmba kang rindkere ülaosa suunas. Lase kang kontrollitult üles tagasi.",Hinga välja kangi alla tõmmates ja sisse üles tagasi lastes.,"[""Õlad tõusevad kõrvade juurde"", ""Kang tõmmatakse kukla taha"", ""Keha kõigub liigselt"", ""Tõmme toimub ainult kätega""]","[""Õlad alla"", ""Tõmba küünarnukid alla"", ""Rind avatud"", ""Tunneta selga, mitte ainult käsi""]","{""should_feel"": [""lai seljalihas""], ""may_feel"": [""biitseps"", ""tagumine õlg""], ""should_not_feel"": [""kaelapinge"", ""õlavalu""]}",[],"[""shoulder_pain""]","[""Assisted Pull-up"", ""Machine Pulldown"", ""Resistance Band Pulldown""]","[""Assisted Pull-up"", ""Pull-up""]","[""Resistance Band Pulldown""]",vertical_pull_compound,[],True,draft,1.0
ex_pull_h_001,Istudes horisontaalne sõudmine plokksüsteemil,Seated Cable Row,horizontal_pull,"[""scapular_retraction"", ""elbow_flexion""]",primary_compound,horizontal_upper_body_pull,compound,cable,[],seated,bilateral,open_chain,"[""mid_back"", ""latissimus_dorsi""]","[""biceps"", ""rear_deltoid""]","[""core"", ""erector_spinae""]","{""mid_back"": 1.0, ""latissimus_dorsi"": 0.6}","{""biceps"": 0.5, ""rear_deltoid"": 0.4, ""core"": 0.3, ""erector_spinae"": 0.2}",mixed,5,5,4,2,2,2,2,2,3,2,low,3,8-12,90,2-1-1-1,"Tõmba käepide kontrollitult enda suunas, hoia hetk ja lase aeglaselt tagasi.","Istu sirge seljaga, jalad toele. Haara käepidemest ja tõmba see kere suunas, viies abaluud kokku. Lase käed kontrollitult ette tagasi.",Hinga välja tõmmates ja sisse tagasi lastes.,"[""Selg ümardub"", ""Tõmme tehakse hooga"", ""Õlad tõusevad"", ""Küünarnukid liiguvad liiga kõrgele või laiali""]","[""Rind avatud"", ""Abaluud kokku"", ""Tõmba küünarnukid taha"", ""Kontrolli tagasiteed""]","{""should_feel"": [""selja keskosa"", ""lai seljalihas""], ""may_feel"": [""biitseps"", ""tagumine õlg""], ""should_not_feel"": [""alaseljavalu"", ""kaelapinge""]}",[],"[""low_back_sensitivity"", ""shoulder_pain""]","[""Chest Supported Row"", ""Machine Row"", ""One Arm Dumbbell Row""]","[""Chest Supported Row"", ""Barbell Row""]","[""Machine Row""]",horizontal_pull_compound,[],True,draft,1.0
ex_pull_h_002,Rinnatoega sõudmine masinal,Chest Supported Row,horizontal_pull,"[""scapular_retraction""]",primary_compound,horizontal_upper_body_pull_supported,compound,machine,"[""dumbbell""]",chest_supported,bilateral,open_chain,"[""mid_back"", ""latissimus_dorsi""]","[""biceps"", ""rear_deltoid""]",[],"{""mid_back"": 1.0, ""latissimus_dorsi"": 0.6}","{""biceps"": 0.5, ""rear_deltoid"": 0.4}",mixed,5,5,5,2,2,1,2,1,3,2,low,3,8-12,90,2-1-1-1,"Tõmba kontrollitult, hoia lõppasendis hetk ja lase aeglaselt tagasi.","Toeta rind padjale ja haara käepidemetest. Tõmba käepidemed keha suunas, viies abaluud kokku. Lase käed kontrollitult tagasi.",Hinga välja tõmmates ja sisse tagasi lastes.,"[""Rind tõuseb toest eemale"", ""Õlad tõusevad"", ""Liigutus tehakse hooga"", ""Tõmme toimub ainult kätega""]","[""Hoia rind toel"", ""Abaluud kokku"", ""Küünarnukid taha"", ""Tunneta selga""]","{""should_feel"": [""selja keskosa""], ""may_feel"": [""lai seljalihas"", ""biitseps"", ""tagumine õlg""], ""should_not_feel"": [""alaseljavalu"", ""kaelapinge""]}",[],"[""shoulder_pain""]","[""Seated Cable Row"", ""Machine Row"", ""One Arm Dumbbell Row""]","[""Barbell Row""]","[""Machine Row""]",horizontal_pull_compound,[],True,draft,1.0
ex_push_h_001,Rinnalt surumine masinal,Machine Chest Press,horizontal_push,"[""elbow_extension"", ""shoulder_flexion""]",primary_compound,horizontal_upper_body_push,compound,machine,[],seated,bilateral,open_chain,"[""pectoralis_major""]","[""triceps"", ""anterior_deltoid""]","[""core""]","{""pectoralis_major"": 1.0}","{""triceps"": 0.5, ""anterior_deltoid"": 0.5, ""core"": 0.1}",lengthened,5,5,4,2,2,1,2,2,3,2,low,3,8-12,90,3-0-1-0,Langeta käepidemed kontrollitult ja suru jõuliselt ette.,"Istu masinale, aseta selg vastu tuge ja haara käepidemetest. Suru käepidemed ette, hoides õlad kontrolli all. Lase käed aeglaselt tagasi, kuni tunned rinnalihases venitust.",Hinga sisse raskust tagasi lastes ja välja surudes.,"[""Õlad tõusevad"", ""Küünarnukid liiguvad liiga kõrgele"", ""Raskus põrgatatakse tagasi"", ""Liigutus jääb lühikeseks""]","[""Õlad alla ja taha"", ""Suru rindkerega"", ""Kontrolli tagasiteed"", ""Ära lukusta küünarnukke järsult""]","{""should_feel"": [""rinnalihas""], ""may_feel"": [""triitseps"", ""eesmine õlg""], ""should_not_feel"": [""õlavalu"", ""kaelapinge""]}",[],"[""shoulder_pain""]","[""Dumbbell Bench Press"", ""Barbell Bench Press"", ""Push-up"", ""Cable Chest Press""]","[""Dumbbell Bench Press"", ""Barbell Bench Press""]","[""Incline Push-up""]",horizontal_push_compound,[],True,draft,1.0
ex_push_h_002,Hantlitega rinnalt surumine pingil,Dumbbell Bench Press,horizontal_push,"[""elbow_extension"", ""shoulder_flexion""]",primary_compound,horizontal_upper_body_push_free_weight,compound,dumbbell,"[""bench""]",supine,bilateral,open_chain,"[""pectoralis_major""]","[""triceps"", ""anterior_deltoid""]","[""core"", ""rotator_cuff""]","{""pectoralis_major"": 1.0}","{""triceps"": 0.5, ""anterior_deltoid"": 0.5, ""rotator_cuff"": 0.3}",lengthened,3,5,5,3,3,4,3,2,3,3,moderate,3,8-12,90,3-0-1-0,Langeta hantlid kontrollitult ja suru üles jõuliselt.,"Lama pingil, hantlid kätes. Langeta hantlid kontrollitult rindkere kõrvale, hoides küünarnukid kehast mõõdukalt eemal. Suru hantlid üles, hoides õlad stabiilsed.",Hinga sisse hantleid langetades ja välja üles surudes.,"[""Hantlid liiguvad liiga laiali"", ""Õlad tõusevad pingilt"", ""Randmed murduvad"", ""Liiga suur raskus vähendab kontrolli""]","[""Õlad alla ja taha"", ""Randmed sirged"", ""Kontrolli mõlemat hantlit"", ""Suru rinnaga""]","{""should_feel"": [""rinnalihas""], ""may_feel"": [""triitseps"", ""eesmine õlg""], ""should_not_feel"": [""õlavalu"", ""randmevalu""]}",[],"[""shoulder_pain"", ""wrist_discomfort""]","[""Machine Chest Press"", ""Barbell Bench Press"", ""Push-up""]","[""Barbell Bench Press""]","[""Machine Chest Press"", ""Incline Push-up""]",horizontal_push_compound,[],True,draft,1.0
ex_push_h_003,Pec deck rinnalihase harjutus,Pec Deck Fly,horizontal_push,"[""shoulder_horizontal_adduction""]",isolation,shoulder_horizontal_adduction,isolation,machine,[],seated,bilateral,open_chain,"[""pectoralis_major""]","[""anterior_deltoid""]",[],"{""pectoralis_major"": 1.0}","{""anterior_deltoid"": 0.2}",lengthened,5,5,4,1,1,1,1,2,2,2,low,2-3,10-15,60,2-1-1-1,Ava käed kontrollitult ja too käed kokku rinnalihase pingega.,"Istu masinale, toeta selg vastu tuge ja haara käepidemetest või aseta käsivarred padjadele. Too käed kontrollitult kokku, hoia hetk ja lase tagasi kuni rinnalihases on mugav venitus.",Hinga välja käsi kokku tuues ja sisse tagasi avades.,"[""Liiga suur raskus"", ""Õlad tõusevad"", ""Käed põrgatatakse tagasi"", ""Liigutus tehakse hooga""]","[""Tunneta rinnalihast"", ""Hoia õlad all"", ""Kontrolli venitust"", ""Ära kasuta hoogu""]","{""should_feel"": [""rinnalihas""], ""may_feel"": [""eesmine õlg vähesel määral""], ""should_not_feel"": [""õlavalu"", ""kaelapinge""]}",[],"[""shoulder_pain""]","[""Cable Fly"", ""Dumbbell Fly"", ""Machine Chest Press""]","[""Cable Fly""]","[""Light Pec Deck""]",chest_isolation,[],True,draft,1.0
ex_shoulder_001,Õlalihase külgtõste hantlitega,Dumbbell Lateral Raise,shoulder_abduction,[],isolation,shoulder_abduction,isolation,dumbbell,[],standing_or_seated,bilateral,open_chain,"[""lateral_deltoid""]","[""supraspinatus""]","[""core"", ""upper_trapezius""]","{""lateral_deltoid"": 1.0}","{""supraspinatus"": 0.3, ""upper_trapezius"": 0.2, ""core"": 0.1}",mid_range,5,5,5,2,2,2,2,1,2,2,low,2-3,10-15,60,2-0-2-0,Tõsta hantlid kontrollitult külgedele ja langeta aeglaselt tagasi.,"Hoia hantleid keha kõrval. Tõsta käed külgedele umbes õlakõrguseni, hoides küünarnukid kergelt painutatud. Langeta hantlid kontrollitult tagasi.",Hinga välja hantleid tõstes ja sisse langetades.,"[""Õlad tõusevad kõrvade juurde"", ""Liiga suur raskus"", ""Keha kõigub"", ""Käed tõstetakse liiga kõrgele""]","[""Tõsta küünarnukiga"", ""Õlad alla"", ""Väike raskus, hea kontroll"", ""Ära hooga kiiguta""]","{""should_feel"": [""õla külgmine osa""], ""may_feel"": [""ülemine trapets vähesel määral""], ""should_not_feel"": [""kaelapinge"", ""õlavalu""]}",[],"[""shoulder_pain"", ""neck_tension""]","[""Machine Lateral Raise"", ""Cable Lateral Raise"", ""Lean Away Lateral Raise""]","[""Cable Lateral Raise""]","[""Machine Lateral Raise""]",lateral_deltoid_isolation,[],True,draft,1.0
ex_shoulder_002,Face pull köiega,Cable Face Pull,horizontal_pull,"[""rear_deltoid"", ""scapular_retraction""]",accessory,rear_deltoid_external_rotation_pull,accessory,cable,"[""rope""]",standing,bilateral,open_chain,"[""rear_deltoid"", ""mid_trapezius""]","[""rotator_cuff"", ""rhomboids""]","[""core""]","{""rear_deltoid"": 1.0, ""mid_trapezius"": 0.7, ""rhomboids"": 0.5}","{""rotator_cuff"": 0.4, ""core"": 0.2}",shortened,4,5,5,3,3,2,3,2,2,2,low,2-3,10-15,60,2-1-1-1,"Tõmba köis näo suunas, hoia hetk ja lase kontrollitult tagasi.","Kinnita köis plokile umbes näo kõrgusele. Tõmba köis näo suunas, viies küünarnukid külgedele ja abaluud kokku. Lase käed kontrollitult tagasi.",Hinga välja tõmmates ja sisse tagasi lastes.,"[""Alaselg läheb nõgusaks"", ""Õlad tõusevad"", ""Tõmme tehakse ainult kätega"", ""Liiga suur raskus""]","[""Tõmba köis näo suunas"", ""Küünarnukid laiali"", ""Abaluud kokku"", ""Õlad alla""]","{""should_feel"": [""tagumine õlg"", ""selja ülaosa""], ""may_feel"": [""rotaatormansett""], ""should_not_feel"": [""kaelavalu"", ""õlavalu""]}",[],"[""shoulder_pain"", ""neck_tension""]","[""Reverse Pec Deck"", ""Rear Delt Cable Fly"", ""Band Face Pull""]","[""Cable Rear Delt Fly""]","[""Band Face Pull""]",rear_deltoid_upper_back_accessory,[],True,draft,1.0
ex_arm_001,Triitsepsi allasurumine köiega,Cable Rope Triceps Pushdown,elbow_extension,[],isolation,elbow_extension,isolation,cable,"[""rope""]",standing,bilateral,open_chain,"[""triceps""]",[],"[""core""]","{""triceps"": 1.0}","{""core"": 0.1}",shortened,5,5,4,1,1,1,1,1,1,2,low,2,10-15,60,2-1-1-1,"Suru köis alla, hoia lõppasendis hetk ja lase kontrollitult tagasi.","Seisa ploki ees ja hoia köit. Hoia küünarnukid keha lähedal ning suru köis alla, kuni küünarnukid sirutuvad. Lase käed kontrollitult tagasi.",Hinga välja alla surudes ja sisse tagasi lastes.,"[""Küünarnukid liiguvad ette-taha"", ""Keha kõigub"", ""Õlad tõusevad"", ""Liigutus tehakse hooga""]","[""Küünarnukid paigal"", ""Suru köis alla ja lahku"", ""Kontrolli tagasiteed"", ""Tunneta triitsepsit""]","{""should_feel"": [""triitseps""], ""may_feel"": [], ""should_not_feel"": [""küünarnukivalu"", ""õlavalu""]}",[],"[""elbow_pain""]","[""Straight Bar Pushdown"", ""Overhead Cable Triceps Extension"", ""Machine Triceps Extension""]","[""Overhead Triceps Extension""]","[""Light Cable Pushdown""]",triceps_isolation,[],True,draft,1.0
ex_arm_002,Biitsepsikõverdus hantlitega,Dumbbell Biceps Curl,elbow_flexion,[],isolation,elbow_flexion,isolation,dumbbell,[],standing_or_seated,bilateral,open_chain,"[""biceps""]","[""brachialis"", ""forearms""]","[""core""]","{""biceps"": 1.0, ""brachialis"": 0.4}","{""forearms"": 0.3, ""core"": 0.1}",mixed,5,5,4,1,1,1,1,1,1,2,low,2,10-15,60,2-1-1-1,"Kõverda käed kontrollitult, hoia hetk ja langeta aeglaselt.","Hoia hantleid keha kõrval. Kõverda küünarnukke, hoides õlavarred paigal. Langeta hantlid aeglaselt tagasi algasendisse.",Hinga välja hantleid tõstes ja sisse langetades.,"[""Keha kiigub"", ""Küünarnukid liiguvad ette"", ""Raskus langetatakse liiga kiiresti"", ""Õlad tõusevad""]","[""Küünarnukid paigal"", ""Kontrolli langetust"", ""Ära kasuta hoogu"", ""Tunneta biitsepsit""]","{""should_feel"": [""biitseps""], ""may_feel"": [""küünarvars""], ""should_not_feel"": [""küünarnukivalu"", ""õlavalu""]}",[],"[""elbow_pain"", ""wrist_discomfort""]","[""Cable Biceps Curl"", ""Machine Biceps Curl"", ""Hammer Curl""]","[""Cable Curl""]","[""Light Dumbbell Curl""]",biceps_isolation,[],True,draft,1.0
ex_core_001,Pallofi surumine plokksüsteemil,Cable Pallof Press,anti_rotation,"[""core_stability""]",core,anti_rotation_core,core,cable,"[""resistance_band""]",standing,bilateral,not_applicable,"[""obliques"", ""transverse_abdominis""]","[""rectus_abdominis"", ""gluteus_medius""]","[""shoulder_stabilizers""]","{""obliques"": 1.0, ""transverse_abdominis"": 0.8}","{""rectus_abdominis"": 0.4, ""gluteus_medius"": 0.3, ""shoulder_stabilizers"": 0.2}",not_applicable,5,5,4,2,2,3,2,1,2,2,low,2,10-15/side,60,2-1-2-1,"Suru käed kontrollitult ette, hoia kere paigal ja too käed tagasi.","Seisa küljega ploki poole, käepide rindkere ees. Suru käed sirgeks, hoides kere paigal ja mitte lastes plokil keha pöörata. Too käed kontrollitult tagasi.",Hinga välja käsi ette surudes ja sisse tagasi tuues.,"[""Keha pöördub kaasa"", ""Õlad tõusevad"", ""Liiga suur raskus"", ""Puusad liiguvad küljelt küljele""]","[""Hoia kere paigal"", ""Ära lase raskusel end pöörata"", ""Kõht pinges"", ""Suru aeglaselt""]","{""should_feel"": [""kere külgmised lihased"", ""sügavad kõhulihased""], ""may_feel"": [""õlavöö stabiliseerijad""], ""should_not_feel"": [""alaseljavalu"", ""õlavalu""]}",[],"[""low_back_pain"", ""shoulder_pain""]","[""Band Pallof Press"", ""Half Kneeling Pallof Press"", ""Cable Anti-Rotation Hold""]","[""Pallof Press Hold"", ""Tall Kneeling Pallof Press""]","[""Band Pallof Press""]",core_anti_rotation,[],True,draft,1.0
ex_core_002,Kõhulihaste surumine plokil,Cable Crunch,spinal_flexion,"[""core""]",core,loaded_spinal_flexion,core,cable,"[""rope""]",kneeling,bilateral,not_applicable,"[""rectus_abdominis""]","[""obliques""]",[],"{""rectus_abdominis"": 1.0, ""obliques"": 0.3}",{},shortened,4,5,5,2,2,2,2,1,2,2,low,2,10-15,60,2-1-1-1,"Painuta kere kontrollitult, hoia lõppasendis hetk ja tõuse aeglaselt tagasi.","Kinnita köis ülemisele plokile ja põlvita ploki ette. Hoia köit pea juures. Painuta kere kontrollitult alla, tuues rinnakorvi vaagna suunas. Tõuse aeglaselt tagasi.",Hinga välja kõhulihaseid pingutades ja sisse tagasi tõustes.,"[""Liigutus tuleb puusast, mitte kõhust"", ""Käed tõmbavad raskust"", ""Liiga suur raskus"", ""Kael pinges""]","[""Rinnakorv vaagna suunas"", ""Tunneta kõhtu"", ""Puusad paigal"", ""Ära tõmba kätega""]","{""should_feel"": [""sirglihas""], ""may_feel"": [""kere külgmised lihased""], ""should_not_feel"": [""kaelavalu"", ""alaseljavalu""]}",[],"[""low_back_pain"", ""neck_tension""]","[""Machine Crunch"", ""Mat Crunch"", ""Stability Ball Crunch""]","[""Heavier Cable Crunch""]","[""Mat Crunch""]",core_flexion,[],True,draft,1.0
ex_core_003,Plank,Plank,anti_extension,"[""core_stability""]",core,anti_extension_core,core,bodyweight,[],prone,bilateral,closed_chain,"[""transverse_abdominis"", ""rectus_abdominis""]","[""obliques"", ""gluteus_maximus""]","[""shoulder_stabilizers""]","{""transverse_abdominis"": 1.0, ""rectus_abdominis"": 0.7}","{""obliques"": 0.4, ""gluteus_maximus"": 0.3, ""shoulder_stabilizers"": 0.3}",not_applicable,5,4,3,2,2,3,2,1,2,2,low,2,20-45 sec,60,hold,"Hoia asendit kontrollitult, säilitades ühtlase hingamise.","Toeta küünarvarred ja varbad põrandale. Hoia keha sirge, kõht ja tuharad kergelt pinges. Ära lase alaseljal nõgusaks vajuda.",Hinga rahulikult ja ühtlaselt kogu hoidmise ajal.,"[""Alaselg vajub nõgusaks"", ""Puusad tõusevad liiga kõrgele"", ""Õlad vajuvad kokku"", ""Hinge kinni hoidmine""]","[""Kõht pinges"", ""Tuharad kergelt pinges"", ""Keha sirge"", ""Hinga rahulikult""]","{""should_feel"": [""sügavad kõhulihased"", ""kere eesmine osa""], ""may_feel"": [""õlavöö"", ""tuharad""], ""should_not_feel"": [""alaseljavalu"", ""õlavalu""]}",[],"[""low_back_pain"", ""shoulder_pain""]","[""Incline Plank"", ""Dead Bug"", ""Body Saw""]","[""Body Saw"", ""Weighted Plank""]","[""Incline Plank"", ""Knee Plank""]",core_anti_extension,[],True,draft,1.0
